Address	PostCode	Price	PropertyType
"73 TRIMLESTON GARDENS, BOOTERSTOWN, "	CoDublin	675000	SecondHand Property
"8 CREMORNE, TEMPLE PARK, RICHMOND AVENUE SOUTH"	CoDublin	505000	SecondHand Property
"8 HAINAULT DR, FOXROCK, 8"	D18	685000	SecondHand Property
"8 OAK HOUSE, OAKBURY COURT, SERPENTINE AVE "	D4	425000	SecondHand Property
"8 OLD TOWN PARK, SANTRY, "	D9	330000	SecondHand Property
"86 THE HOLLY, ROCKFIELD, DUNDRUM 6"	D16	405000	SecondHand Property
"89 CEANNT FORT, MOUNT BROWN, "	D8	355000	SecondHand Property
"98 CAPPAGH RD, FINGLAS, 1"	D11	308000	SecondHand Property
"99 SYCAMORE RD, FINGLAS, 1"	D11	350000	SecondHand Property
"APARTMENT 25, BLOCK D KILLINEY TOWERS, KILLINEY"	CoDublin	359500	SecondHand Property
"APT 11 BLOCK B, COROFIN HOUSE, CLARE VILLAGE"	D3	205000	SecondHand Property
"APT 12, ST LAURENCE, HARBOUR RD"	D13	350000	SecondHand Property
"CLARAGH, BALLYEDMONDUFF RD, STEPASIDE 8"	D18	494413	SecondHand Property
"LOURDESVILLE, 100 TEMPLEVILLE RD, TEMPLEOGUE W"	CoDublin	675000	SecondHand Property
"WEST CURRAGH, NAUL, COUNTY DUBLIN"	CoDublin	300000	SecondHand Property
"100 IVY EXCHANGE, PARNELL ST, "	D1	390000	SecondHand Property
"11 ASHLEY COURT, CLYDE ROAD, "	CoDublin	560000	SecondHand Property
"11 COPELAND GROVE, CLONTARF, "	D3	580000	SecondHand Property
"12 LEINSTER STREET, "	CoDublin	325000	SecondHand Property
"139 AULDEN GRANGE, SANTRY, 7"	D17	345000	SecondHand Property
"13A CRESCENT PLACE, CLONTARF, "	D3	650000	SecondHand Property
"14 SION RD, GLENAGEARY"	CoDublin	610000	SecondHand Property
"144 ST JOHNS WOOD WEST, CLONDALKIN, 2"	D22	249950	SecondHand Property
"154 NORTH RD, FINGLAS, 1"	D11	330000	SecondHand Property
"17 Kingsland, Donabate, "	CoDublin	378854.41	NewProperty
"17 WHITETHORN RD, ARTANE, "	D5	453000	SecondHand Property
"175 Stepaside Park, Stepaside, 8"	D18	625550	NewProperty
"19 BALFE RD, WALKINSTOWN, 2"	D12	301000	SecondHand Property
"19 PARK LAWN, CLONTARF, "	D3	795000	SecondHand Property
"194 ASHCROFT, RAHENY, "	D5	365000	SecondHand Property
"20 Glenart Avenue, Blackrock"	CoDublin	1806168	NewProperty
"20 LANESBOROUGH DR, ST MARGARETS, 1"	D11	287000	SecondHand Property
"20 WAINSFORT MANOR DR, TERENURE, W"	CoDublin	810000	SecondHand Property
"22 THE STRAND, DONABATE"	CoDublin	268000	SecondHand Property
"228 MOURNE RD, DRIMNAGH, 2"	D12	295000	SecondHand Property
"24 SAUL'S COURT, COW'S LANE, TEMPLE BAR"	D8	470000	SecondHand Property
"26 LAMBOURNE WOOD, BRENNANSTOWN RD, CABINTEELY 8"	D18	950000	SecondHand Property
"27 BROOKWOOD RISE, ARTANE, "	D5	475000	SecondHand Property
"281 CHARLEMONT, GRIFFITH AVENUE, "	D9	380000	SecondHand Property
"3 SORREL DR, SORREL PARK, CLONSILLA 5"	D15	370000	SecondHand Property
"30 AIKENHEAD TERRACE, STELLA GARDENS, IRISHTOWN "	D4	408000	SecondHand Property
"31 HERMITAGE PARK, RATHFARNHAM, 6"	D16	652000	SecondHand Property
"37 Hampton Wood Square, Hampton Wood, St. Margaret's Road"	D11	422907	NewProperty
"39 Hampton Wood Square, Hampton Wood, St. Margaret's Road"	D11	422907	NewProperty
"43 MALAHIDE RD, "	D3	630000	SecondHand Property
"46 MILLERS AVENUE, MILLERS GLEN, SWORDS"	CoDublin	348018	NewProperty
"50 Beechwood Gate, Beechwood, Hansfield"	D15	361233.48	NewProperty
"529 CARNLOUGH RD, CABRA WEST, "	D7	251500	SecondHand Property
"6 CROSFORGE CLOSE, CROSFORGE, SAGGART"	CoDublin	370000	SecondHand Property
"62 CHURCHFIELDS, DUNDRUM RD, MILLTOWN"	D14	515000	SecondHand Property
"7 CONQUER HILL AVE, CLONTARF, "	D3	295000	SecondHand Property
"7 MEADOW PARK, CHURCHTOWN, 4"	D14	540000	SecondHand Property
"7 TURVEY PARK, DONABATE"	CoDublin	340000	SecondHand Property
"8 Belltree Row, Clongriffin"	D13	325991	NewProperty
"8 CANNONBROOK AVENUE, LUCAN, "	CoDublin	330000	SecondHand Property
"81 CLEARSTREAM COURT, MCKEE AVENUE, FINGLAS"	D11	262000	SecondHand Property
"90 GREENFORT GARDENS, CLONDALKIN, 2"	D22	202000	SecondHand Property
"96 OLD CABRA RD, "	D7	216666	SecondHand Property
"Apartment 53 Hampton Wood Drive, Hampton Wood, St. Margaret's Road"	D11	341850	NewProperty
"Apartment 54 Hampton Wood Drive, Hampton Wood, St. Margaret's Road"	D11	341850	NewProperty
"Apartment 55 Hampton Wood Drive, Hampton Wood, St. Margaret's Road"	D11	317181	NewProperty
"Apartment 56 Hampton Wood Drive, Hampton Wood, St. Margaret's Road"	D11	317181	NewProperty
"Apartment 57 Hampton Wood Drive, Hampton Wood, St. Margaret's Road"	D11	341850	NewProperty
"Apartment 58 Hampton Wood Drive, Hampton Wood, St. Margaret's Road"	D11	341850	NewProperty
"Apartment 59 Hampton Wood Drive, Hampton Wood, St. Margaret's Road"	D11	341850	NewProperty
"Apartment 60 Hampton Wood Drivr, Hampton Wood, St. Margaet's Road"	D11	341850	NewProperty
"Apartment 61 Hampton Wood Drive, Hampton Wood, St. Margaret's Road"	D11	317181	NewProperty
"Apartment 62 Hampton Wood Drive, Hampton Wood, St. Margaret's Road"	D11	317181	NewProperty
"Apartment 63 Hampton Wood Drive, Hampton Wood, St. Margaret's Road"	D12	341850	NewProperty
"Apartment 64 Hampton Wood Drive, Hampton Wood, St. Margaret's Road"	D11	341850	NewProperty
"APT 1, 161 JAMESS ST, "	D8	300000	SecondHand Property
"APT 2, 161A JAMESS ST"	D8	215000	SecondHand Property
"APT 3, 161A JAMESS ST"	D8	215000	SecondHand Property
"APT 4, 161A JAMESS ST"	D8	240000	SecondHand Property
"AVOCA, 62 LAUREL PARK, CLONDALKIN 2"	D22	360000	SecondHand Property
"KEATINGS PARK, RATHCOOLE"	D24	795000	SecondHand Property
"10 ARMAGH RD, CRUMLIN, 2"	D12	335000	SecondHand Property
"10 GLENCAIRN, HARBOUR RD, DALKEY"	CoDublin	445000	SecondHand Property
"11 FATHER MATTHEW SQ, "	D7	350000	SecondHand Property
"11 THE VIEW, CARRICKMINES MANOR, GLENAMUCK RD"	D18	315000	SecondHand Property
"111 WESTLAND SQ, PEARSE ST"	D2	545000	SecondHand Property
"122 BUTTERFIELD AVE, RATHFARNHAM, 4"	D14	545000	SecondHand Property
"13 ELY SQUARE, NUTGROVE AVENUE, RATHFARNHAM"	CoDublin	594713	NewProperty
"13 OCONNELL GARDENS, SANDYMOUNT, "	D4	550000	SecondHand Property
"13 wilkins court, greenhill 12"	CoDublin	370044.05	NewProperty
"134 CREMONA ROAD, BALLYFERMOT, 0"	CoDublin	237000	SecondHand Property
"140 CAPPAGH RD, FINGLAS WEST, 1"	D11	228000	SecondHand Property
"15 HAINAULT GROVE, FOXROCK, 8"	D18	701000	SecondHand Property
"161 ST JOHNS CRESCENT, CLONDALKIN, 2"	D22	215000	SecondHand Property
"17 NEWCOMEN AVE, NORTH STRAND, "	D3	335000	SecondHand Property
"18 CARRIGLEA VIEW, FIRHOUSE, 4"	D24	416000	SecondHand Property
"18 CLEARSTREAM COURT, MCKEE AVE, FINGLAS 1"	D11	168000	SecondHand Property
"19 BOROIMHE ASPEN, BOROIMHE, SWORDS"	CoDublin	305000	SecondHand Property
"21 GOLDENRIDGE DR, SKERRIES RD, RUSH"	CoDublin	87500	SecondHand Property
"25 PEMBROKE COTTAGES, DONNYBROOK, "	D4	450000	SecondHand Property
"26 MILLSTREAM, THE LINKS, PORTMARNOCK"	D13	298000	SecondHand Property
"28 RADCLIFFE HALL, ST JOHNS RD, SANDYMOUNT "	D4	645000	SecondHand Property
"28 THE PAVILION, DUN LAOGHAIRE"	CoDublin	545000	SecondHand Property
"29 SLADE CASTLE AVE, SAGGART"	D24	224000	SecondHand Property
"34 BEECHWOOD PARK, DUN LAOGHAIRE"	CoDublin	760000	SecondHand Property
"37 ANFIELD DRIVE, 5"	D15	220000	SecondHand Property
"4 Beechwood Heath, Beechwood, Hansfield"	CoDublin	292951.55	NewProperty
"4 CASTLEKEVIN RD, COOLOCK, "	D5	273000	SecondHand Property
"4 PETRIE RD, CIRCULAR RD SOUTH, "	D8	45000	SecondHand Property
"41 SHEILMARTIN AVE, MARINO, "	D3	405000	SecondHand Property
"44 SEA VIEW PARK, PORTRANE, DONABATE"	CoDublin	275000	SecondHand Property
"45 CEDAR PK, FORREST RD, SWORDS"	CoDublin	313500	SecondHand Property
"5 ARRAN QUAY, "	D7	800000	SecondHand Property
"5 DARTMOUTH SQUARE WEST, RANELAGH, "	D6	1405000	SecondHand Property
"5 PECKS LANE, PARKMORE, CASTLEKNOCK"	CoDublin	640000	SecondHand Property
"5 WHITES GATE, WHITES ROAD, CASTLEKNOCK"	D15	1120000	SecondHand Property
"53 Ballygoosan Park, Golf Links Road, Skerries"	CoDublin	308400	NewProperty
"55 BEECHDALE COURT, BALLYCULLEN, FIRHOUSE 4"	D24	240000	SecondHand Property
"55 NIALL ST, STONEYBATTER, "	D7	320000	SecondHand Property
"57 BERTRAM COURT, CHRISTCHURCH, "	D8	248000	SecondHand Property
"62 Millets Avenue, Millers Glen, Swords"	CoDublin	409691	NewProperty
"67 ROSSE COURT HEIGHTS, BALGADDY RD, LUCAN"	CoDublin	197000	SecondHand Property
"69 THE PLAZA, BALLYMUN, "	D9	147000	SecondHand Property
"7 HOLYWELL PLACE, SWORDS"	CoDublin	306000	SecondHand Property
"78 GLENTOW RD, WHITEHALL, "	D9	267000	SecondHand Property
"80 PEARSE ST, "	D2	325823	SecondHand Property
"81 SHANLISS WAY, SANTRY, "	D9	177000	SecondHand Property
"88 SHANLISS RD, SANTRY, "	D9	347500	SecondHand Property
"9 CULLENSWOOD GARDENS, RANELAGH, "	D6	1210000	SecondHand Property
"9 FINSBURY GREEN, DUNDRUM, 4"	D14	545000	SecondHand Property
"APT 44 BLOCK F, MILNERS SQ, SHANOWEN RD "	D9	205000	SecondHand Property
"CROMLECH COTTAGE, KILLINEY HILL ROAD, KILLINEY"	CoDublin	1450000	SecondHand Property
"FERRYCARRIG, THE RISE MOUNT MERRION, BLACKROCK"	CoDublin	915000	SecondHand Property
"MILVERTON, SKERRIES, "	CoDublin	280000	SecondHand Property
"1 THE WATERCOURSE, TEMPLEOGUE, W"	CoDublin	840000	SecondHand Property
"10 MAPAS AVE, DALKEY"	CoDublin	635000	SecondHand Property
"10B NORTH ST, ONGAR, 5"	D15	204000	SecondHand Property
"113 BELFRY HALL, CITYWEST 4"	D24	222000	SecondHand Property
"117 THE MAPLES, BIRD AVE, CLONSKEAGH 4"	D14	662500	SecondHand Property
"12 BIRCHDALE RD, KINSEALY"	CoDublin	320000	SecondHand Property
"13 FOREST AVE, RIVERVALLEY, SWORDS"	CoDublin	28705.04	SecondHand Property
"14 HOLYWELL GREEN, FELTRIM RD, SWORDS"	CoDublin	190000	SecondHand Property
"15 CROFTWOOD DR, CHERRY ORCHARD, BALLYFERMOT 0"	D10	250000	SecondHand Property
"16 Elder Heath Walk, Elder Heath, Kiltipper Road"	D24	268722	NewProperty
"17 Ardilaun Court, Sybill Hill Road, Raheny"	CoDublin	414097	NewProperty
"17 GLENPARK ROAD, PALMERSTOWN, 0"	CoDublin	324000	SecondHand Property
"17 White Pines Court, White Pines, Stocking Avenue"	D16	458149	NewProperty
"170 BRIARFIELDGROVE, KILLBARRICK, "	D5	280000	SecondHand Property
"18 MANORFIELDS CLOSE, CASTAHEANY, 5"	D15	232000	SecondHand Property
"2 BEECH HILL TERRACE, DONNYBROOK, "	D4	607000	SecondHand Property
"2 Castleland Park Close, Balbriggan, "	CoDublin	242290.75	NewProperty
"2 SITRIC RD, "	D7	250000	SecondHand Property
"20 B MIDDLE THIRD, KILLESTER, "	CoDublin	570000	SecondHand Property
"20 ST CATHRYNS COURT, NEWGROVE AVE, SANDYMOUNT "	D4	580000	SecondHand Property
"20 WELLMOUNT DR, FINGLAS WEST, 1"	D11	220000	SecondHand Property
"21 HAZELBURY PARK, CLONEE, 5"	D15	345000	SecondHand Property
"22 PINEWOODS, CLONDALKIN, 2"	D22	285000	SecondHand Property
"25 OLD CO GLEN, CRUMLIN, 2"	D12	370000	SecondHand Property
"30 ST PETERS SQ, PHIBSBOROUGH RD, PHIBSBOROUGH "	D7	219000	SecondHand Property
"32 COLLINS PLACE, FINGLAS EAST, 1"	D11	210000	SecondHand Property
"37 ASHTON PARK, MONKSTOWN"	CoDublin	805000	SecondHand Property
"38 GERALDINE ST, PHIBSBORO, "	D7	276000	SecondHand Property
"44A PAIRC MHUIRE, SAGGART"	D24	275000	SecondHand Property
"46 WARNERS LANE, "	D6	780000	SecondHand Property
"5 ST. HELEN'S WALK, ST. HELENS, ADAMSTOWN"	CoDublin	259911.89	NewProperty
"52 Wilkins Court, Walkinstown"	D12	427312	NewProperty
"55 ROCKVIEW, BLACKGLEN RD, SANDYFORD 8"	D18	245000	SecondHand Property
58 VILLA PARK AVE NAVAN RD	D15	570000	SecondHand Property
"67 DRYNAM AVENUE, KETTLES LANE, KINSEALY"	CoDublin	295154.2	NewProperty
"75 FERNDALE, HUNTSTOWN, CLONSILLA 5"	D15	285000	SecondHand Property
"77 ESKER WOOD DR, LUCAN"	CoDublin	335000	SecondHand Property
"8 BRAEMOR AVE, CHURCHTOWN, 4"	D14	121110	SecondHand Property
"8 LISLE RD, CRUMLIN, 2"	D12	244000	SecondHand Property
"8 SHANBOLEY RD, SANTRY, "	D9	375000	SecondHand Property
"9 PARK COURT, SANDYMOUNT, "	D4	440000	SecondHand Property
"ST JOSEPHS, LEOPARDSTOWN RD, 8"	D18	650000	SecondHand Property
"UNIT 1, 23 YORK ROAD, RATHMINES"	D6	1000000	SecondHand Property
"WIMBLETOWN HOUSE, WIMBLETOWN, BALLYBOUGHAL"	CoDublin	535000	SecondHand Property
"101 BALLYSHANNON RD, KILMORE WEST, 5"	D5	225000	SecondHand Property
"117 TYMON CRESCENT, OLDBAWN, TALLAGHT 4"	D24	315000	SecondHand Property
"12 WELLINGTON LODGE, SERPENTINE AVE, BALLSBRIDGE "	D4	325000	SecondHand Property
"134 THE MAPLES, BIRD AVENUE, CLONSKEAGH"	CoDublin	965000	SecondHand Property
"146 TRITONVILLE RD, SANDYMOUNT, "	D4	12500	SecondHand Property
"154 ROYAL CANAL COURT, ROYAL CANAL WAY, ASHTOWN"	CoDublin	420000	SecondHand Property
"16 Hampton, Grace Park Road, Drumcondra"	CoDublin	788547	NewProperty
"16 White Pines Meadow, Stocking Avenue, Rathfarnham"	D16	365639	NewProperty
"184 DOWNPATRICK RD, CRUMLIN, 2"	D12	263000	SecondHand Property
"19 SUNCROFT DRIVE, TALLAGHT, 4"	D24	215000	SecondHand Property
"2 Clonrath Park, Skerries Road, Lusk"	CoDublin	334802	NewProperty
"2 FOSTER PLACE NORTH, NORTH STRAND, "	D3	225000	SecondHand Property
"201 HAMPTON LODGE, GRACE PARK RD, "	D9	288000	SecondHand Property
"21 OAKLAND PARK, SWORDS"	CoDublin	275000	SecondHand Property
"23 LEESON PARK AVE, RANELAGH, "	D6	921500	SecondHand Property
"23 White Pines Meadow, Stocking Avenue, Rathfarnham"	D16	374449.34	NewProperty
"24, CASEMENT DRIVE, FINGLAS 1"	D11	84000	SecondHand Property
"29 CASTLEVIEW LAWNS, SWORDS"	CoDublin	200000	SecondHand Property
"3 CÚL NA GRÉINE, AN  TSEANBHÁBHÚN, TAMHLACHT ÁTH CLIATH 24"	D24	315000	SecondHand Property
"30 BEECHFILED MEADOWS, CASTAHEANY, CLONEE"	D15	235000	SecondHand Property
"33 HARDIMAN RD, DRUMCONDRA, "	D9	475000	SecondHand Property
"41 VENETIAN HALL, HOWTH RD, KILLESTER "	D5	147500	SecondHand Property
"43 BELVILLE, AILESBURY RD, "	D4	400000	SecondHand Property
"44 COLLINSTOWN GROVE, CLONDALKIN"	D22	208000	SecondHand Property
"45 MAIESTON, SANTRY CROSS, BALLYMUN 1"	D11	189000	SecondHand Property
"46 RIALTO COURT, RIALTO ST, RIALTO "	D8	170000	SecondHand Property
"49A ORWELL PARK, RATHGAR, "	D6	1500000	SecondHand Property
"5 PALMERS COPSE, PALMERSTOWN MANOR, PALMERSTOWN 0"	D20	337000	SecondHand Property
"57 wilkins court, limekiln lane"	D12	422907	NewProperty
"58 SHELBOURNE PARK, SOUTH LOTTS RD, RINGSEND "	D4	378000	SecondHand Property
"6 WATERSIDE GROVE SWORDS RD, MALAHIDE"	CoDublin	285000	SecondHand Property
"63 THE WATER RILL, WATERSIDE, SWORDS RD"	D9	350000	SecondHand Property
"66 GOLDENBRIDGE AVE, INCHICORE, "	CoDublin	315000	SecondHand Property
"7  Longview Square, Miller Glen, Swords"	CoDublin	301904.18	NewProperty
"78 NORTHUMBERLAND RD, "	D4	1600000	SecondHand Property
"8 CASTLEGRANGE LAWN, CLONDALKIN, 2"	D22	260000	SecondHand Property
"9 HAWTHORN TERRACE, EAST WALL, "	D3	337000	SecondHand Property
"9 Longview Square, Millers Glen, Swords"	CoDublin	286343.61	NewProperty
"Apartment 11, Greygates Hall, Roebuck Avenue"	CoDublin	562250	NewProperty
"1 Diswellstown Court, Castleknock, 5"	D15	458149	NewProperty
"10 ST ITAS RD, "	D9	580000	SecondHand Property
"10 ST VINCENTS PARK, TEMPLE HILL, BLACKROCK"	CoDublin	538000	SecondHand Property
"101 DORNEY COURT, SHANKILL, 8"	D18	438000	SecondHand Property
"11 ANNAMOE DRIVE, CABRA, "	D7	192000	SecondHand Property
"11 THE PARK, PHEASANT RUN, CLONEE 5"	D15	322000	SecondHand Property
"11 VIOLET HILL DR, GLASNEVIN, 1"	D11	433000	SecondHand Property
"110 THE MALTINGS, BONHAM ST, "	D8	192500	SecondHand Property
"112 CARLTON COURT, SWORDS"	CoDublin	345000	SecondHand Property
"12 ELDER HEATH WALK, ELDER HEATH, KILTIPPER ROAD"	D24	268722	NewProperty
"12 GROSVENOR LODGE, RATHMINES, "	D6	434600	SecondHand Property
"12 STATION COURT, DONABATE"	CoDublin	195000	SecondHand Property
"120 LARKFIELD GARDENS, HAROLDS CROSS, W"	CoDublin	430000	SecondHand Property
"14 CARRICKBRACK HEATH, SUTTON, 3"	D13	825000	SecondHand Property
"14 Somerton Way, Newcastle Road, Lucan"	CoDublin	325991.18	NewProperty
"140 LIOSCIAN, SWORDS"	CoDublin	305000	SecondHand Property
"15 FAIRLAWN PARK, FINGLAS SOUTH, 1"	D11	217000	SecondHand Property
"15 Grangeabbey, Abbey Road, Monkstown"	CoDublin	563876.65	NewProperty
"15 The Close, Scholarstown Wood, Scholarstown Road"	D16	462555	NewProperty
"151 KINGS COURT, PARNELL ST"	D1	290000	SecondHand Property
"154 HOWTH RD, CLONTARF, "	D3	1250000	SecondHand Property
"156 HARMONSTOWN RD, ARTANE, "	D5	330000	SecondHand Property
"16 Enderly, Cunningham Drive, Dalkey"	CoDublin	1850220	NewProperty
"17 WEIR HOUSE RIVERVIEW, RICHMOND RD  3"	D3	237500	SecondHand Property
"171 COMERAGH RD, DRIMNAGH, 2"	D12	285000	SecondHand Property
"18 SMITH VILLAS, YORK RD, DUN LAOGHAIRE"	CoDublin	202500	SecondHand Property
"18 TRINITY PLAZA, TARA ST, "	D2	432000	SecondHand Property
"18 TURVEY GROVE, DONABATE"	CoDublin	320000	SecondHand Property
"19 GLENGARRIFF PARADE, PHIBSBOROUGH"	D7	485000	SecondHand Property
"190 ARDMORE DR, ARTANE, "	D5	390000	SecondHand Property
"2 ASH PARK HEATH, LUCAN"	CoDublin	365500	SecondHand Property
"2 ELM HOUSE, MESPIL ESTATE, "	D4	295000	SecondHand Property
"2 Larkfield Dale, Clay Farm, Leopardstown"	CoDublin	480176	NewProperty
"20 BREMORE PASTURES AVE, BALBRIGGAN"	CoDublin	210000	SecondHand Property
"20 CARDY ROCK AVE, CARDY ROCK VIEW, BALBRIGGAN"	CoDublin	230000	SecondHand Property
"20 NEWHAVEN AVE, BALBRIGGAN"	CoDublin	199950	SecondHand Property
"20 SHANDON CRESCENT, PHIBSBOROUGH, "	D7	500000	SecondHand Property
"24-27 Collinstown Grove, Clondalkin"	D22	100000	NewProperty
"24 TRINITY PLAZA, TARA ST, "	D2	275000	SecondHand Property
"25 Beltree Avenue, Beltree, Clongriffin"	D13	338834	NewProperty
"26 SHANVARNA RD, SANTRY, "	D9	244000	SecondHand Property
"27 OAK DRIVE, ROYAL OAK, SANTRY"	D9	320000	SecondHand Property
"27A MILLBROOK RD, KILBARRACK, 3"	D13	310000	SecondHand Property
"29 FRANKFORT AVE, RATHGAR, "	D6	850000	SecondHand Property
"29 WELLINGTON LODGE, SERPENTINE AVE, BALLSBRIDGE "	D4	310000	SecondHand Property
"3 Rathmill Glen, Rathmill Manor, Rathcoole"	CoDublin	348018	NewProperty
"3 SANDYFORD HALL GROVE, SANDYFORD, 8"	D18	447000	SecondHand Property
"3 THE LINNETT, BARNAGEERAGH COVE, SKERRIES"	CoDublin	358000	SecondHand Property
"31 ANNFIELD DR, CASTLEKNOCK, 5"	D15	267500	SecondHand Property
"31 St Pancras Avenue, Mount Tallant Avenue, Terenure"	D6	801762	NewProperty
32 ESKER MANOR LUCAN	CoDublin	204000	SecondHand Property
"34 BOWBRIDGE PLACE, "	D8	280000	SecondHand Property
"34 THE PADDOCKS SQ, LUCAN"	CoDublin	272000	SecondHand Property
"35 WOODLAWN PARK DR, FIRHOUSE"	D24	381155	SecondHand Property
"36 BOWBRIDGE PLACE, "	D8	280000	SecondHand Property
"37 SYNGE ST, PORTOBELLO, "	D8	1400000	SecondHand Property
"39 Ashfield Avenue, Ridgewood, Swords"	CoDublin	356380	NewProperty
"4 GLENTWORTH PARK, ARD NA GREINE, MALAHIDE RD 3"	D13	360000	SecondHand Property
"40 CREMORE HEIGHTS, GLASNEVIN, 1"	D11	365000	SecondHand Property
"44 ANNFIELD CRESCENT, CARPENTERSTOWN, 5"	D15	289000	SecondHand Property
"44 THE WELLINGTON, RIVERPARK APTS, CONYNGHAM RD "	D8	352500	SecondHand Property
"46 FORTUNE WALK, CITYWEST, SAGGART"	D24	150000	SecondHand Property
"5 MILLCOURT DR, CLONDALKIN, 2"	D22	235000	SecondHand Property
"5 PEMBROKE COTTAGES, DONNYBROOK, "	D4	560000	SecondHand Property
"53 CHURCHFIELDS, MILLTOWN, 4"	D14	700000	SecondHand Property
"55 EDENMORE CRESCENT, RAHENY, "	D5	302000	SecondHand Property
"57 KIMMAGE GROVE, KIMMAGE, W"	CoDublin	380000	SecondHand Property
"58 HOLLYBANK AVE LOWER, RANELAGH, "	D6	882500	SecondHand Property
"58 THE SQUARE, LARCH HILL, 7"	D17	223000	SecondHand Property
"6 BRACKENWOOD LANE, FLEMINGTON, BALBRIGGAN"	CoDublin	175000	SecondHand Property
"65 BAILE NA LAOCHRA, POPPINTREE, BALLYMUN"	D11	156563	NewProperty
"66 BROADFIELD HALL, TALLAGHT CROSS EAST, TALLAGHT 4"	D24	282000	SecondHand Property
"69 BAILE NA LAOCHRA, POPPINTREE, BALLYMUN"	D11	156563	NewProperty
"69 HOLYWELL DRIVE, GORSEHILL, SWORDS"	CoDublin	235000	SecondHand Property
"7 CEDARBROOK AVE, CHERRY ORCHARD, 0"	D10	196500	SecondHand Property
"71 Drynam Avenue, Kettle's Lane, Kinsealy"	CoDublin	268722	NewProperty
"75 Drynam Avenue, Kettles Lane, Kinsealy"	CoDublin	312926.83	NewProperty
"77 Drynam Avenue, Kettles Lane, Kinsealy"	CoDublin	295154.18	NewProperty
"78 HOLLYBROOK RD, CLONTARF, "	D3	680000	SecondHand Property
"8 Elder Heath Downs, Elder Heath, Kiltipper Road"	CoDublin	275000	NewProperty
"81 Drynam Avenue, Kettle's Lane, Kinsealy"	CoDublin	335000	NewProperty
"84 THE CASINO, MALAHIDE"	CoDublin	405286	NewProperty
"85 Drynam Avenue, Kettles Lane, Kinsealy"	CoDublin	352432	NewProperty
"88 DALCASSIAN DOWNS, GLASNEVIN, 1"	D11	419000	SecondHand Property
"94 EDEN VILLAS, GLASTHULE, "	CoDublin	425000	SecondHand Property
"APARTMENT 19, ARDILAUN COURT, CLONTARF"	D3	453744	NewProperty
"APARTMENT 1, 17 MAIN ST, RAHENY"	D5	550000	SecondHand Property
"APT 11 BLOCK E1, THE STOCKYEAR THE STEELWORKS, FOLEY ST "	D1	255000	SecondHand Property
"APT 5 NEWPARK, NEWTOWNPARK AVE, BLACKROCK"	CoDublin	290000	SecondHand Property
"APT 6, 64 MOUNT JOY SQ WEST, "	D1	257500	SecondHand Property
"FIONNRADHARC, THE BAILY, HOWTH"	D13	995000	SecondHand Property
"No.8, Larkfield Dale, Clay Farm"	D18	449339.21	NewProperty
"22 MOUNT PROSPECT LAWNS, CLONTARF, "	D3	935000	SecondHand Property
"1 MALACHI RD, STONEYBATTER, "	D7	330000	SecondHand Property
"10 The Rosefinch, Barnageeragh Cove, Skerries"	CoDublin	475770	NewProperty
"10 WOODSCAPE, FINNSTOWN PRIORY"	CoDublin	330000	SecondHand Property
"106 THE ASH, GRANGE HALL, BALLINTEER 6"	D16	300000	SecondHand Property
"108 BROADFORD AVE, BALLINTEER, 6"	D16	470000	SecondHand Property
"114 ROYAL CANAL COURT, ROYAL CANAL WAY, ASHTOWN"	CoDublin	251101	NewProperty
"11A INBHIR IDE DRIVE, MALAHIDE, "	CoDublin	475000	SecondHand Property
"12 CITYWEST VILLAGE GREEN SOUTH, CITYWEST VILLAGE, CITYWEST"	D24	317180.61	NewProperty
"12 HOLYWELL VIEW, FELTRIM, SWORDS"	CoDublin	302000	SecondHand Property
"12 WALKINSTOWN PARADE, 2"	D12	325000	SecondHand Property
"14 COLTHURST MEWS, LUCAN"	CoDublin	290000	SecondHand Property
"14 RIVERWOOD HALL, CASTLEKNOCK"	D15	355000	SecondHand Property
"14 TANDY COURT, CHRISTCHURCH, "	D15	290000	SecondHand Property
"16 BERWICK HALL, CHURCHTOWN, 4"	D14	380000	SecondHand Property
"160 DRUMCONDRA RD UPPER, DRUMCONDRA, "	D9	645000	SecondHand Property
"17 CARRIGMORE OAK, SAGGART"	D24	265000	SecondHand Property
"19 CHIPPING TERRACE, ONGAR VILLAGE, CLONEE"	D15	240000	SecondHand Property
"2 COUNDON COURT, KILLINEY AVE, KILLINEY"	CoDublin	780000	SecondHand Property
"20 CASTLEGRANGE CLOSE, CLONDALKIN, 2"	D22	229000	SecondHand Property
"20 THE METROPOLITAN, KILMAINHAM, "	D8	295000	SecondHand Property
"208 ST ATTRACTA RD, CABRA, "	D7	320000	SecondHand Property
"26 MAYWOOD CRESCENT, RAHENY, "	D5	585000	SecondHand Property
"27 BOROIMHE ASPEN, FORREST RD, SWORDS"	CoDublin	315000	SecondHand Property
"28 KILCLARE CRESCENT, JOBSTOWN, 4"	D24	220000	SecondHand Property
"3 KILAKEE WALK, FIRHOUSE, 4"	D24	182500	SecondHand Property
"30 EDEN CRESCENT, RATHFARNHAM, 6"	D16	510000	SecondHand Property
"33 Northwood Green, Santry"	D9	205035.24	NewProperty
"34 Northwood Green, Santry"	D9	142632.6	NewProperty
"35 Northwood Green, Santry"	D9	205035.24	NewProperty
"35 VICTORIA ST, PORTOBELLO, "	D8	565000	SecondHand Property
